   1    0    1  n      0.0      0.0  
  20   19   39 K    8557.025    0.000
  19   20   39 Ca   8369.670    0.015
  18   21   39 Sc   8013.456    0.615
  17   22   39 Ti   7574       1000       5       1000   
  28   12   40 Mg   6628       1000      13       1000   
  27   13   40 Al   7127       1000      10       1000   
  26   14   40 Si   7661.754    8.628
  25   15   40 P    7980.796    3.840
  24   16   40 S    8329.325    0.100
  23   17   40 Cl   8427.765    0.802
  22   18   40 Ar   8595.259    0.000
  21   19   40 K    8538.090    0.001
  20   20   40 Ca   8551.303    0.001
  19   21   40 Sc   8173.669    0.071
  18   22   40 Ti   7862.286    4.000
  17   23   40 V    7317       1000       7       1000   
  28   13   41 Al   7008       1000      12       1000   
  27   14   41 Si   7508.573   13.529
  26   15   41 P    7906.551    2.931
  25   16   41 S    8229.635    0.100
  24   17   41 Cl   8412.959    1.676
  23   18   41 Ar   8534.372    0.008
  22   19   41 K    8576.072    0.000
  21   20   41 Ca   8546.706    0.003
  20   21   41 Sc   8369.198    0.002
  19   22   41 Ti   8034.388    0.682
  18   23   41 V    7625       1000       5       1000   
  29   13   42 Al   6874       1000      14       1000   
  28   14   42 Si   7418       1000      12       1000   
  27   15   42 P    7767.866    7.485
  26   16   42 S    8193.227    0.067
  25   17   42 Cl   8345.886    1.419
  24   18   42 Ar   8555.613    0.138
  23   19   42 K    8551.256    0.003
  22   20   42 Ca   8616.563    0.004
  21   21   42 Sc   8444.933    0.004
  20   22   42 Ti   8259.247    0.007
  19   23   42 V    7824       1000       5       1000   
  18   24   42 Cr   7464       1000      10       1000   
  30   13   43 Al   6741       1000      19       1000   
  29   14   43 Si   7279       1000      14       1000   
  28   15   43 P    7689.572   12.900
  27   16   43 S    8063.827    0.116
  26   17   43 Cl   8323.866    1.439
  25   18   43 Ar   8488.237    0.123
  24   19   43 K    8576.220    0.010
  23   20   43 Ca   8600.663    0.005
  22   21   43 Sc   8530.825    0.043
  21   22   43 Ti   8352.932    0.168
  20   23   43 V    8069.512    0.996
  19   24   43 Cr   7680       1000       9       1000   
  30   14   44 Si   7174       1000      14       1000   
  29   15   44 P    7567       1000      11       1000   
  28   16   44 S    7996.015    0.119
  27   17   44 Cl   8232.332    3.098
  26   18   44 Ar   8493.840    0.036
  25   19   44 K    8546.701    0.010
  24   20   44 Ca   8658.175    0.007
  23   21   44 Sc   8557.379    0.040
  22   22   44 Ti   8533.520    0.016
  21   23   44 V    8210.463    4.128
  20   24   44 Cr   7948       1000       7       1000   
  19   25   44 Mn   7467       1000      11       1000   
  31   14   45 Si   6995       1000      16       1000   
  30   15   45 P    7464       1000      11       1000   
  29   16   45 S    7881.807   23.008
  28   17   45 Cl   8181.598    3.026
